name,ra,dec,z,f60_Jy,status,hrl_line,tracer,F_Jykms,sigma_F,SN,W_kms,mask_area_beams,mask_area_arcsec2,rms_chan_mJy,rms10_mJy,rms10_pred_mJy,ir_R90_arcsec,ir_size_source,coverage,best_res_arcsec,est_size_GB,next_step
NGC 1097,41.57792,-30.27472,0.0043,53.35,candidate,H40a,CS21+HCN10+HCO+10,,,,,,,,,0.925,,,,1.594,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
NGC 1266,49.00708,-2.42611,0.00732,13.13,candidate,H40a,CS21+HCN10+HCO+10,,,,,,,,,0.97,,,,0.457,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
NGC 1365,53.40208,-36.13972,0.00546,94.31,candidate,H30a+H40a,13CO21+CO21+CS21+HCN10+HCO+10,,,,,,,,,7.268,,,,22.146,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
NGC 1448,56.13375,-44.64472,0.00388,10.32,candidate,H30a,CO21,,,,,,,,,9.267,,,,5.867,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
NGC 1511,59.90583,-67.635,0.00443,25.38,candidate,H40a,CS21+HCN10+HCO+10,,,,,,,,,7.699,,,,56.413,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
NGC 1566,64.99917,-54.935,0.00499,22.53,candidate,H40a,CS21+HCN10+HCO+10,,,,,,,,,6.805,,,,56.446,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
NGC 1614,68.50042,-8.57944,0.01583,32.12,candidate,H30a+H40a,13CO21+CO21+CS21+HCN10+HCO+10,,,,,,,,,0.446,,,,0.139,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
NGC 1672,71.42792,-59.24667,0.0045,41.21,candidate,H30a+H40a,CO21+CS21+HCN10+HCO+10,,,,,,,,,7.0,,,,23.537,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
NGC 2623,129.59917,25.75472,0.01847,23.74,candidate,H30a+H40a,13CO21+CO21+CS21,,,,,,,,,0.501,,,,0.123,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
NGC 2964,145.73042,31.84556,0.00444,12.07,candidate,H30a,CO21,,,,,,,,,8.568,,,,5.863,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
NGC 3110,151.01125,-6.47639,0.01698,11.28,candidate,H30a+H40a,CO21+CS21,,,,,,,,,0.532,,,,0.133,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
NGC 3281,157.96708,-34.85389,0.01067,6.73,candidate,H30a,CO21,,,,,,,,,0.504,,,,0.503,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
NGC 3351,160.99208,11.70278,0.00257,19.66,candidate,H30a+H40a,CO21+CS21+HCN10+HCO+10,,,,,,,,,0.402,,,,0.056,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
NGC 3521,166.455,-0.0375,0.00246,49.19,candidate,H40a,CS21+HCN10+HCO+10,,,,,,,,,9.478,,,,56.317,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
NGC 3621,169.56958,-32.81306,0.00243,29.32,candidate,H40a,CS21+HCN10+HCO+10,,,,,,,,,7.234,,,,56.304,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
NGC 4038/9,180.47958,-18.87861,0.00521,45.16,candidate,H30a+H40a,13CO21+CO21+CS21,,,,,,,,,0.435,,,,0.093,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
NGC 4254,184.7125,14.41389,0.00802,37.46,candidate,H30a+H40a,CO21+CS21+HCN10+HCO+10,,,,,,,,,8.748,,,,23.621,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
NGC 4298,185.39875,14.60194,0.00381,7.02,candidate,H30a,13CO21+CO21,,,,,,,,,6.936,,,,23.408,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
NGC 4303,185.48083,4.47333,0.00524,37.27,candidate,H30a+H40a,CO21+CS21+HCN10+HCO+10,,,,,,,,,7.606,,,,23.557,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
NGC 4321,185.72458,15.82278,0.00524,26.0,candidate,H30a+H40a,CO21+CS21+HCN10+HCO+10,,,,,,,,,9.295,,,,23.557,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
NGC 4383,186.35833,16.46778,0.0057,8.36,candidate,H30a,13CO21+CO21,,,,,,,,,6.415,,,,23.452,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
NGC 4388,186.44125,12.66389,0.00842,10.27,candidate,H30a,CO21,,,,,,,,,3.496,,,,0.574,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
NGC 4418,186.72792,-0.87833,0.00702,43.89,candidate,H30a+H40a,CO21+CS21+HCN10+HCO+10,,,,,,,,,0.465,,,,0.064,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
NGC 4501,187.99,14.42222,0.00762,19.68,candidate,H30a,13CO21+CO21,,,,,,,,,0.906,,,,0.024,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
NGC 4532,188.5775,6.46972,0.00669,9.21,candidate,H30a,13CO21+CO21,,,,,,,,,7.454,,,,23.476,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
NGC 4536,188.61875,2.18556,0.00601,30.26,candidate,H40a,CS21+HCN10+HCO+10,,,,,,,,,8.534,,,,56.504,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
NGC 4568/7,189.14042,11.24222,0.00755,20.81,candidate,H30a,13CO21+CO21,,,,,,,,,7.581,,,,23.494,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
NGC 4579,189.4275,11.82,0.00507,5.93,candidate,H30a,CO21,,,,,,,,,3.496,,,,0.54,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
NGC 4631,190.52958,32.5425,0.0021,85.4,candidate,H40a,CS21,,,,,,,,,1.215,,,,1.444,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
NGC 4651,190.92542,16.39389,0.00269,5.6,candidate,H30a,13CO21+CO21,,,,,,,,,6.704,,,,23.382,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
NGC 4808,193.95333,4.305,0.0026,6.92,candidate,H30a,13CO21+CO21,,,,,,,,,8.274,,,,23.379,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
NGC 5257/8,204.97875,0.83528,0.02268,10.73,candidate,H30a,CO21,,,,,,,,,8.303,,,,4.023,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
NGC 5427,210.85667,-6.03,0.00873,10.24,candidate,H30a,CO21,,,,,,,,,7.922,,,,4.882,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
NGC 6240,253.24417,2.40083,0.02434,22.94,candidate,H40a,CS21+HCN10+HCO+10,,,,,,,,,0.637,,,,0.397,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
NGC 6300,259.25125,-62.82028,0.0037,16.72,candidate,H40a,CS21+HCN10+HCO+10,,,,,,,,,9.817,,,,56.37,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
NGC 6744,287.44125,-63.8575,0.00281,18.92,candidate,H30a,CO21,,,,,,,,,12.432,,,,23.499,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
NGC 6907,306.27458,-24.80889,0.01054,14.14,candidate,H30a,13CO21+CO21,,,,,,,,,18.866,,,,23.568,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
