name,survey,ra_deg,dec_deg,z,logMstar,logSFR,distance_mpc
MaNGA-8082-12701,ALMaQUEST,48.896458,-1.016286,0.027026,10.53,0.07,
MaNGA-8082-12704,ALMaQUEST,49.949562,-0.221145,0.132144,11.66,-0.31,
MaNGA-8083-6101,ALMaQUEST,50.504082,-1.05393,0.026766,10.57,-0.79,
MaNGA-8083-9101,ALMaQUEST,50.138412,-0.33996,0.03847,11.3,0.42,
MaNGA-8083-12702,ALMaQUEST,50.245415,-0.367683,0.02104,11.24,0.51,
MaNGA-8084-3702,ALMaQUEST,50.636642,-0.001213,0.022061,10.43,0.48,
MaNGA-8084-6103,ALMaQUEST,50.741676,0.054137,0.035927,10.71,-0.65,
MaNGA-8084-12705,ALMaQUEST,51.027115,-1.057859,0.025446,10.6,-0.06,
MaNGA-8086-9101,ALMaQUEST,57.242985,-0.52112,0.040035,11.12,-0.09,
MaNGA-8155-6101,ALMaQUEST,53.814114,-1.228609,0.037403,11.18,-3.03,
MaNGA-8155-6102,ALMaQUEST,52.621368,0.752068,0.030814,10.38,0.33,
MaNGA-8156-3701,ALMaQUEST,55.592297,-0.583196,0.052726,10.27,0.81,
MaNGA-8241-3703,ALMaQUEST,126.461189,18.166689,0.029113,10.23,0.23,
MaNGA-8241-3704,ALMaQUEST,126.568909,17.362452,0.066173,11.06,1.22,
MaNGA-8450-6102,ALMaQUEST,171.74884,21.141676,0.041996,10.31,0.63,
MaNGA-8615-3703,ALMaQUEST,320.826416,1.25498,0.018452,10.23,0.42,
MaNGA-8615-9101,ALMaQUEST,319.919739,0.120941,0.033459,10.78,0.01,
MaNGA-8615-12702,ALMaQUEST,320.159454,1.047277,0.020947,10.21,0.1,
MaNGA-8616-6104,ALMaQUEST,322.98053,0.213767,0.054257,10.9,0.21,
MaNGA-8616-9102,ALMaQUEST,322.749451,-0.000594,0.030386,10.44,0.62,
MaNGA-8616-12702,ALMaQUEST,322.306061,-0.294765,0.030831,10.93,-0.36,
MaNGA-8618-9102,ALMaQUEST,319.271454,9.972303,0.043337,10.47,0.42,
MaNGA-8623-6104,ALMaQUEST,311.780975,0.300461,0.097041,11.34,1.2,
MaNGA-8623-12702,ALMaQUEST,310.217072,0.652804,0.02691,10.96,0.11,
MaNGA-8655-3701,ALMaQUEST,356.751831,-0.447387,0.071489,11.27,1.16,
MaNGA-8655-9102,ALMaQUEST,358.221924,-0.382447,0.04505,10.31,0.25,
MaNGA-8655-12705,ALMaQUEST,357.651733,-1.12809,0.045568,10.51,-1.55,
MaNGA-8728-3701,ALMaQUEST,57.699028,-7.028787,0.028327,10.85,-1.67,
MaNGA-8950-12705,ALMaQUEST,194.733139,27.833445,0.025277,10.73,-0.39,
MaNGA-8952-6104,ALMaQUEST,204.933975,27.776474,0.028433,10.6,0.45,
MaNGA-8952-12701,ALMaQUEST,204.683838,26.328539,0.028563,10.78,-0.66,
