name,survey,z,logMstar,logSFR,distance_mpc,hrl_line,strong_line,project_id,mousid,sens_10kms_mJy,ang_res_arcsec,pointing_ra,pointing_dec,predicted_sn_log
NGC1365,PHANGS-ALMA,0.005381,11.0,1.24,19.57,H30a,CO21,2019.2.00037.S,uid://A001/X14c3/X1dc,8.67964370558837,23.445410951513303,53.401482341055996,-36.140572061986106,-2.282
NGC3627,PHANGS-ALMA,0.002386,10.84,0.59,11.32,H30a,CO21,2015.1.00956.S,uid://A001/X2fb/X287,6.048778647770346,1.0839192365878467,170.06403367235703,12.9996222331844,-2.299
NGC6744,PHANGS-ALMA,0.002776,10.72,0.38,9.39,H30a,CO21,2015.1.00956.S,uid://A001/X2fb/X2d7,5.8128491978276795,0.8379005903105694,287.44207919999695,-63.826978108630655,-2.33
NGC6744,PHANGS-ALMA,0.002776,10.72,0.38,9.39,H30a,CO21,2015.1.00956.S,uid://A001/X2fb/X2e1,6.155588062656821,0.8372439722049412,287.4326117422324,-63.88947778512893,-2.355
NGC4569,PHANGS-ALMA,-0.000753,10.81,0.12,15.76,H30a,CO21,2018.1.00517.S,uid://A001/X133d/Xdc2,1.224853262976415,1.1902768023379757,189.2075666666572,13.162869444440311,-2.363
NGC4254,PHANGS-ALMA,0.007966,10.42,0.49,13.1,H30a,CO21,2015.1.00956.S,uid://A001/X2fb/X2a5,5.314439502952382,1.167719862888646,184.71250676447022,14.40821300594851,-2.47
NGC3627,PHANGS-ALMA,0.002386,10.84,0.59,11.32,H30a,CO21,2015.1.00956.S,uid://A001/X2fb/X28d,9.070071876877284,23.48980761778357,170.0626082999792,12.991288900002656,-2.475
NGC7793,PHANGS-ALMA,0.000741,9.36,-0.57,3.62,H30a,CO21,2015.1.00782.S,uid://A001/X2f7/X21d,6.217277122022827,0.48931246180697435,359.4486538257026,-32.589205242983745,-2.481
NGC1365,PHANGS-ALMA,0.005381,11.0,1.24,19.57,H30a,CO21,2013.1.01161.S,uid://A001/X12f/X319,13.822362052132076,1.0139886256901454,53.40158306280189,-36.14047059893555,-2.484
NGC5643,PHANGS-ALMA,0.003974,10.34,0.41,12.68,H30a,CO21,2018.1.00986.S,uid://A001/X133d/X17da,5.093419340560018,4.314399422809471,218.17029562632064,-44.1743333315773,-2.503
NGC1566,PHANGS-ALMA,0.004948,10.79,0.66,17.69,H30a,CO21,2017.1.00392.S,uid://A001/X12d1/X118,4.846013473206131,0.8264307021174955,65.00174580005654,-54.953084287421724,-2.521
NGC4303,PHANGS-ALMA,0.005203,10.51,0.73,16.99,H30a,CO21,2015.1.00956.S,uid://A001/X2fb/X2af,6.3442914308533,1.070187490681215,185.47895829999987,4.473588899999999,-2.533
NGC1566,PHANGS-ALMA,0.004948,10.79,0.66,17.69,H30a,CO21,2018.1.01651.S,uid://A001/X136e/Xa0,5.1181994233735715,0.7995892521393116,65.00174580001077,-54.92391762267217,-2.545
NGC1672,PHANGS-ALMA,0.004397,10.73,0.88,19.4,H30a,CO21,2015.1.00956.S,uid://A001/X2fb/X273,7.0977680056794235,1.1810555980201232,71.42866966821363,-59.24408545648518,-2.547
NGC4254,PHANGS-ALMA,0.007966,10.42,0.49,13.1,H30a,CO21,2015.1.00956.S,uid://A001/X2fb/X29b,6.583331706469136,1.1329927027497129,184.71250747939274,14.435990782762017,-2.563
NGC4321,PHANGS-ALMA,0.005245,10.75,0.55,15.21,H30a,CO21,2015.1.00956.S,uid://A001/X2fb/X2c3,5.663813058095915,0.8247324761182849,185.72585881043787,15.809879848711033,-2.567
NGC3627,PHANGS-ALMA,0.002386,10.84,0.59,11.32,H30a,CO21,2015.1.00956.S,uid://A001/X2fb/X297,11.454274238472589,23.489807580946827,170.06260829996947,12.991288900005083,-2.577
NGC5643,PHANGS-ALMA,0.003974,10.34,0.41,12.68,H30a,CO21,2018.1.00986.S,uid://A001/X133d/X17dc,6.25223610558513,23.627573750403084,218.16990832996248,-44.17461111001129,-2.592
NGC0628,PHANGS-ALMA,0.002171,10.34,0.24,9.84,H30a,CO21,2012.1.00650.S,uid://A002/X5a9a13/X57b,7.543523194943539,0.5397027742385828,24.17330572806446,15.782979282287616,-2.624
NGC4321,PHANGS-ALMA,0.005245,10.75,0.55,15.21,H30a,CO21,2015.1.00956.S,uid://A001/X2fb/X2b9,6.6751853557415295,1.216098501277611,185.72585845342255,15.834879847487887,-2.639
NGC1365,PHANGS-ALMA,0.005381,11.0,1.24,19.57,H30a,CO21,2013.1.01161.S,uid://A001/X12f/X31d,21.345954494909126,22.14618091677292,53.40158333333334,-36.14047222222222,-2.672
NGC6744,PHANGS-ALMA,0.002776,10.72,0.38,9.39,H30a,CO21,2015.1.00956.S,uid://A001/X2fb/X2e7,14.382586698405014,23.498540112148728,287.4420792000173,-63.85753890000696,-2.723
NGC6744,PHANGS-ALMA,0.002776,10.72,0.38,9.39,H30a,CO21,2015.1.00956.S,uid://A001/X2fb/X2dd,14.718584925175968,23.49911945240823,287.442079200006,-63.85753890000907,-2.733
NGC4303,PHANGS-ALMA,0.005203,10.51,0.73,16.99,H30a,CO21,2015.1.00956.S,uid://A001/X2fb/X2b5,10.109386814140908,23.556815605377302,185.47895830000897,4.473588900001742,-2.735
NGC3351,PHANGS-ALMA,0.002584,10.37,0.12,9.96,H30a,CO21,2015.1.00956.S,uid://A001/X2fb/X27d,7.448400987676916,1.0910745910311455,160.9905541999999,11.703611100000002,-2.749
NGC4254,PHANGS-ALMA,0.007966,10.42,0.49,13.1,H30a,CO21,2015.1.00956.S,uid://A001/X2fb/X2ab,10.215793327504002,23.62145869982135,184.70677080002537,14.416488900004888,-2.754
NGC5643,PHANGS-ALMA,0.003974,10.34,0.41,12.68,H30a,CO21,2016.1.00254.S,uid://A001/X87a/X495,9.071450012863258,5.579658147814533,218.1699082999414,-44.17461110002893,-2.754
NGC4254,PHANGS-ALMA,0.007966,10.42,0.49,13.1,H30a,CO21,2015.1.00956.S,uid://A001/X2fb/X2a1,10.348644020436947,23.62147345715287,184.70677080003017,14.416488900005222,-2.759
NGC1672,PHANGS-ALMA,0.004397,10.73,0.88,19.4,H30a,CO21,2015.1.00956.S,uid://A001/X2fb/X279,11.96395279915395,23.53702565874555,71.42730000001092,-59.24741110000694,-2.773
NGC3351,PHANGS-ALMA,0.002584,10.37,0.12,9.96,H30a,CO21,2016.2.00053.S,uid://A001/X124a/X1cc,8.113740873028496,5.382384554433411,160.99055416665422,11.703611111110424,-2.786
NGC4535,PHANGS-ALMA,0.006517,10.54,0.34,15.77,H30a,CO21,2015.1.00956.S,uid://A001/X2fb/X2cd,6.317201157356988,1.0975687570186752,188.5836700296678,8.193746764125136,-2.856
NGC4579,PHANGS-ALMA,0.005059,11.15,0.33,21.0,H30a,CO21,2012.1.00139.S,uid://A002/X5a9a13/Xe9,3.495782620843862,0.5399681197983902,189.431362,11.818183,-2.858
NGC4321,PHANGS-ALMA,0.005245,10.75,0.55,15.21,H30a,CO21,2015.1.00956.S,uid://A001/X2fb/X2c9,11.384152952020901,23.557262630783224,185.7287458000133,15.822380600005959,-2.871
NGC0628,PHANGS-ALMA,0.002171,10.34,0.24,9.84,H30a,CO21,2012.1.00650.S,uid://A002/X95bb93/X5,13.614927361107414,21.99673134283675,24.174050000000005,15.783461111111118,-2.88
NGC4826,PHANGS-ALMA,0.001367,10.24,-0.69,4.41,H30a,CO21,2016.2.00053.S,uid://A001/X124a/X1b4,8.732387287161139,5.053098358423139,194.18206666667342,21.682658333330036,-2.92
NGC4321,PHANGS-ALMA,0.005245,10.75,0.55,15.21,H30a,CO21,2015.1.00956.S,uid://A001/X2fb/X2bf,12.964411623201912,23.557261169194554,185.72874580000286,15.822380600002592,-2.927
NGC1385,PHANGS-ALMA,0.004926,9.98,0.32,17.22,H30a,CO21,2018.1.01651.S,uid://A001/X136d/X134,6.599855016059735,0.684712209002108,54.37106516400722,-24.501277379104327,-2.972
